Player,Nation,Pos,Squad,25/26 Lg,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,Accurate passes per 90,Chances Created
Berkay Yilmaz,Turkey,FB,Freiburg,2 Lg,21,2005,34,33,3018,33.5,1,8,9,1,0,0,7,0,29.0,78.0,3.0,148.0,32.0,54.0,32.5,43
Bilal El Khannouss,Morocco,MF,Stuttgart,Bundesliga,22,2004,25,19,1630,18.1,4,5,9,4,0,0,6,0,19.0,9.0,1.0,65.0,10.0,21.0,41.3,45
Bilal Nadir,Morocco,MF,Hamburger SV,Ligue 1,23,2003,28,7,876,9.7,1,5,6,1,0,0,6,1,29.0,8.0,1.0,13.0,9.0,16.0,51.1,11
Brajan Gruda,Germany,MF,RB Leipzig,Bundesliga,22,2004,13,8,753,8.4,3,3,6,3,0,0,1,0,10.0,12.0,1.0,25.0,0.0,8.0,21.9,17
Cajetan Lenz,Germany,MF,Hoffenheim,2 Lg,20,2006,34,25,2181,24.2,2,1,2,2,0,0,10,0,31.0,13.0,2.0,11.0,18.0,33.0,28.1,15
Can Uzun,Turkey,MF,Frankfurt,Bundesliga,20,2005,21,15,1156,12.8,8,4,12,7,1,1,3,0,15.0,26.0,0.0,24.0,3.0,9.0,37.4,20
Carney Chukwuemeka,Austria,MF,Dortmund,Bundesliga,22,2003,28,8,919,10.2,2,0,2,2,0,0,2,0,11.0,15.0,0.0,1.0,6.0,15.0,32.3,11
Chema Andres,Spain,MF,Stuttgart,Bundesliga,21,2005,25,14,1310,14.6,3,0,3,3,0,0,5,0,20.0,8.0,1.0,0.0,31.0,16.0,42.5,15
Christian Kofane,Cameroon,FW,Leverkusen,Bundesliga,20,2006,29,12,1239,13.8,5,4,9,5,0,0,3,0,30.0,17.0,3.0,0.0,2.0,7.0,12.2,17
Chuki,Spain,FW,Werder Bremen,Segunda Liga (ESP),22,2004,35,26,2424,26.9,7,7,14,6,1,1,4,0,42.0,55.0,11.0,176.0,11.0,15.0,17.4,45
Clemens Lippmann,Germany,MF,Paderborn,3 Lg,19,2006,25,20,1827,20.3,1,1,2,1,0,0,0,0,-,-,-,-,-,-,18.8,9
Cole Campbell,United States,FW,SV Elversberg,Bundesliga,20,2006,6,0,96,1.1,0,0,0,0,0,0,0,0,0.0,1.0,0.0,5.0,0.0,0.0,-,3
Conrad Harder,Denmark,FW,RB Leipzig,Bundesliga,21,2005,29,8,932,10.4,3,3,6,3,0,0,3,0,21.0,18.0,4.0,13.0,7.0,6.0,13.5,14
Cyriaque Irié,Burkina Faso,MF,Freiburg,Bundesliga,21,2005,10,3,347,3.9,0,0,0,0,0,0,3,0,11.0,8.0,5.0,3.0,3.0,6.0,-,4
Dariusz Stalmach,Poland,MF,Werder Bremen,2 Lg,20,2005,25,8,942,10.5,2,3,5,2,0,0,5,0,25.0,17.0,1.0,4.0,16.0,26.0,32.3,19
David Mokwa,France,FW,SV Elversberg,2 Lg,22,2004,17,14,1153,12.8,6,0,6,6,0,0,0,0,18.0,11.0,6.0,0.0,0.0,5.0,7.2,6
Deniz Zeitler,Germany,FW,Paderborn,3 Lg,20,2006,38,37,3014,33.5,15,2,17,13,2,2,2,0,-,-,-,-,-,-,13.6,28
Dženan Pejčinović,Germany,FW,Stuttgart,Bundesliga,21,2005,30,16,1460,16.2,8,0,8,8,0,0,1,0,22.0,7.0,5.0,5.0,5.0,9.0,16.0,13
El Chadaille Bitshiabu,France,CB,RB Leipzig,Bundesliga,21,2005,11,8,655,7.3,0,0,0,0,0,0,0,0,4.0,0.0,0.0,0.0,6.0,6.0,58.1,2
Elias Bakatukanda,Germany,CB,Köln,Aut Bundesliga,22,2004,15,14,1275,14.2,0,0,0,0,0,0,1,0,15.0,4.0,0.0,2.0,24.0,22.0,-,3
Elias Baum,Germany,FB,Frankfurt,Bundesliga,20,2005,5,0,75,0.8,0,0,0,0,0,0,0,0,3.0,0.0,0.0,4.0,1.0,0.0,-,1
Eliesse Ben Seghir,Morocco,MF,Leverkusen,Bundesliga,21,2005,10,2,252,2.8,0,0,0,0,0,0,2,0,3.0,10.0,0.0,9.0,1.0,2.0,37.7,5
Emil Højlund,Denmark,FW,Schalke 04,2 Lg,21,2005,4,1,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,-,1
Ernest Poku,Netherlands,MF,Leverkusen,Bundesliga,22,2004,29,16,1482,16.5,5,5,10,5,0,0,0,0,4.0,17.0,3.0,13.0,8.0,9.0,28.1,27
Ezechiel Banzuzi,Netherlands,MF,RB Leipzig,Bundesliga,21,2005,24,2,597,6.6,0,1,1,0,0,0,3,0,14.0,7.0,0.0,5.0,6.0,10.0,37.7,7
Fabio Baldé,Portugal,FW,Hamburger SV,Bundesliga,21,2005,16,3,448,5.0,1,1,2,1,0,0,1,0,4.0,2.0,0.0,16.0,1.0,7.0,-,5
Fabio Chiarodia,Italy,CB,Gladbach,Bundesliga,21,2005,15,8,674,7.5,0,0,0,0,0,0,1,0,8.0,1.0,0.0,0.0,13.0,9.0,-,1
Farid Alfa-Ruprecht,Germany,FW,Leverkusen,2 Lg,20,2006,28,13,1226,13.6,3,3,5,3,0,0,4,0,25.0,9.0,6.0,51.0,7.0,9.0,18.8,22
Felipe Chávez,Peru,MF,Bayern Munich,Bundesliga,19,2007,9,0,116,1.3,0,0,0,0,0,0,0,0,1.0,1.0,0.0,2.0,2.0,2.0,-,1
Filippo Mane,Italy,CB,Dortmund,Bundesliga,21,2005,4,2,131,1.5,0,0,0,0,0,0,0,1,1.0,2.0,0.0,1.0,2.0,0.0,-,-
Finn Jeltsch,Germany,CB,Stuttgart,Bundesliga,20,2006,23,17,1511,16.8,0,1,1,0,0,0,3,0,13.0,16.0,3.0,3.0,19.0,14.0,56.7,5
Francis Onyeka,Germany,MF,SV Elversberg,2 Lg,19,2007,30,25,2130,23.7,8,1,9,6,2,3,2,0,28.0,9.0,1.0,14.0,3.0,13.0,13.7,23
Fynn Schenten,Germany,FW,Köln,Bundesliga,19,2007,7,1,100,1.1,0,0,0,0,0,0,0,0,2.0,0.0,0.0,3.0,0.0,0.0,-,1
Hannes Behrens,Germany,FB,Augsburg,Bundesliga,21,2005,16,15,1318,14.6,1,2,3,1,0,0,0,0,5.0,27.0,1.0,59.0,18.0,18.0,-,-
Hugo Larsson,Sweden,MF,Frankfurt,Bundesliga,22,2004,25,21,1812,20.1,2,2,4,2,0,0,0,0,7.0,2.0,0.0,9.0,27.0,9.0,44.2,19
Ibrahim Maza,Algeria,MF,Leverkusen,Bundesliga,20,2005,28,20,1849,20.5,3,4,7,3,0,0,2,0,19.0,36.0,3.0,64.0,16.0,24.0,36.0,28
Bruno Ogbus,Switzerland,FB,Freiburg,Bundesliga,21,2005,18,14,1177,13.1,0,0,0,0,0,0,1,0,5.0,11.0,0.0,3.0,13.0,16.0,43.4,1
Ilyas Ansah,Germany,FW,Union Berlin,Bundesliga,22,2004,33,23,1892,21.0,5,1,6,5,0,0,1,0,21.0,43.0,9.0,19.0,4.0,9.0,10.6,16
Jahmai Simpson-Pusey,England,CB,Köln,Bundesliga,20,2005,11,10,863,9.6,0,0,0,0,0,0,2,1,4.0,4.0,0.0,2.0,12.0,8.0,-,2
Jean Mattéo Bahoya,France,MF,Frankfurt,Bundesliga,21,2005,27,15,1331,14.8,3,4,7,3,0,0,2,0,13.0,22.0,3.0,33.0,12.0,14.0,24.2,31
Jeanuël Belocian,France,CB,Leverkusen,Bundesliga,21,2005,22,17,1546,17.1,0,1,1,0,0,0,3,0,23.0,13.0,0.0,8.0,18.0,19.0,37.6,5
Joane Gadou,France,CB,Dortmund,Aut Bundesliga,19,2007,19,18,1572,17.5,0,0,0,0,0,0,4,2,20.0,1.0,0.0,0.0,29.0,28.0,56.9,4
Jobe Bellingham,England,MF,Dortmund,Bundesliga,20,2005,32,20,1786,19.8,0,1,1,0,0,0,2,1,15.0,20.0,0.0,5.0,41.0,23.0,46.2,9
Jonah Sticker,Germany,MF,Paderborn,2 Lg,22,2004,22,7,813,9.0,0,0,0,0,0,0,0,0,6.0,21.0,0.0,9.0,10.0,18.0,28.6,5
Jovan Milošević,Serbia,FW,Stuttgart,Bundesliga,21,2005,13,5,488,5.4,3,1,4,3,0,0,2,0,8.0,3.0,6.0,3.0,0.0,2.0,-,3
Julian Pauli,England,CB,Köln,2 Lg,21,2005,21,21,1793,19.9,0,1,1,0,0,0,3,0,18.0,11.0,0.0,2.0,30.0,26.0,49.2,6
Justin Lerma,Ecuador,MF,Dortmund,ECU Serie A,18,2008,26,15,1588,13.7,2,1,3,2,0,0,0,0,-,-,-,-,-,-,-,24
Kacper Potulski,Poland,CB,Mainz 05,Bundesliga,19,2007,15,9,1065,11.8,1,0,1,1,0,0,3,0,17.0,5.0,0.0,2.0,19.0,15.0,-,2
Kaua Prates,Brazil,FB,Dortmund,BRA Serie A,18,2008,12,5,606,4.2,1,0,1,1,0,0,1,0,5.0,1.0,1.0,11.0,3.0,9.0,-,-
Keisuke Goto,Japan,FW,Freiburg,BEL First Division,21,2005,38,32,2878,32.0,12,8,18,9,2,2,5,0,37.0,33.0,25.0,3.0,10.0,22.0,12.8,30
Keita Kosugi,Japan,FB,Frankfurt,Allsvenskan,20,2006,28,27,2347,26.1,0,5,5,0,0,0,4,0,33.0,47.0,0.0,142.0,29.0,44.0,34.9,49
Keke Topp,Germany,FW,Werder Bremen,Bundesliga,22,2004,20,7,638,7.1,1,1,2,1,0,0,4,0,16.0,7.0,2.0,5.0,1.0,5.0,20.3,8
Kennedy Okpala,Germany,FW,Paderborn,2 Lg,21,2004,12,2,303,3.4,1,0,1,1,0,0,4,0,18.0,18.0,3.0,11.0,2.0,2.0,-,3
Kennet Eichhorn,Germany,MF,Leverkusen,2 Lg,17,2009,19,14,1141,12.7,2,0,1,1,0,0,7,1,21.0,15.0,0.0,0.0,21.0,15.0,22.5,6
Kenny Quetant,France,FW,Werder Bremen,Ligue 1,20,2006,10,4,372,4.1,1,0,1,1,0,0,1,0,6.0,3.0,4.0,1.0,1.0,0.0,-,1
Kofi Amoako,Germany,MF,Hamburger SV,2 Lg,21,2005,33,29,2205,24.5,1,1,2,1,0,0,6,0,33.0,24.0,3.0,20.0,22.0,42.0,31.5,23
Konstantinos Karetsas,Greece,FW,Dortmund,BEL First Division,18,2007,45,35,2964,32.9,2,14,16,2,0,0,4,0,30.0,82.0,7.0,215.0,12.0,20.0,32.6,66
Laurin Ulrich,Germany,MF,Stuttgart,2 Lg,21,2005,36,32,2671,29.7,3,3,6,3,0,0,3,0,28.0,74.0,0.0,29.0,17.0,29.0,24.7,50
Lennart Karl,Germany,MF,Bayern Munich,Bundesliga,18,2008,26,16,1281,14.2,5,5,10,5,0,0,1,0,5.0,11.0,4.0,29.0,11.0,15.0,49.2,23
Leo Sauer,Slovakia,FW,Stuttgart,Eredivisie,20,2005,20,17,1413,15.7,3,2,5,3,0,0,1,0,15.0,20.0,9.0,29.0,5.0,8.0,18.0,21
Leon Avdullahu,Kosovo,MF,Hoffenheim,Bundesliga,22,2004,33,32,2834,31.5,0,1,1,0,0,0,5,0,27.0,12.0,1.0,15.0,33.0,30.0,58.3,22
Leopold Querfeld,Austria,CB,Union Berlin,Bundesliga,22,2003,31,30,2705,30.1,3,0,3,1,2,3,7,0,46.0,28.0,0.0,3.0,35.0,27.0,32.4,21
Livan Burcu,Turkey,FW,Union Berlin,Bundesliga,21,2004,18,6,651,7.2,1,1,2,1,0,0,4,0,6.0,14.0,1.0,15.0,2.0,7.0,23.2,9
Luca Reggiani,Italy,CB,Dortmund,Bundesliga,18,2008,8,6,511,5.7,1,0,1,1,0,0,2,0,4.0,2.0,0.0,1.0,2.0,10.0,-,2
Luis Engelns,Germany,MF,Hoffenheim,2 Lg,19,2007,17,4,572,6.4,1,0,1,1,0,0,2,0,14.0,23.0,2.0,3.0,8.0,7.0,31.4,2
Lukas Ullrich,Germany,FB,Gladbach,Bundesliga,22,2004,23,14,1305,14.5,0,0,0,0,0,0,2,0,17.0,11.0,1.0,38.0,21.0,17.0,26.1,14
Martin Adeline,France,MF,Hamburger SV,Ligue 2,22,2003,34,32,2567,28.5,11,11,22,11,0,0,5,1,72.0,26.0,6.0,25.0,21.0,31.0,32.1,62
Mats Rots,Netherlands,FB,Hoffenheim,Eredivisie,20,2006,34,34,2949,32.8,4,4,8,4,0,0,4,0,27.0,28.0,3.0,82.0,39.0,52.0,34.6,51
Mattes Hansen,Germany,CB,Paderborn,2 Lg,22,2004,29,19,1721,19.1,0,1,1,0,0,0,7,1,24.0,13.0,1.0,13.0,32.0,28.0,52.8,16
Maurice Krattenmacher,Germany,MF,SV Elversberg,2 Lg,21,2005,22,6,685,7.6,1,0,1,1,0,0,0,0,13.0,42.0,0.0,13.0,1.0,4.0,21.3,9
Max Finkgräfe,Germany,FB,RB Leipzig,Bundesliga,22,2004,13,5,504,5.6,1,1,2,1,0,0,2,0,3.0,4.0,0.0,37.0,8.0,12.0,-,12
Max Moerstedt,Germany,FW,Hoffenheim,Bundesliga,20,2006,22,1,420,4.7,2,0,2,2,0,0,2,0,14.0,10.0,3.0,4.0,0.0,3.0,17.3,2
Mert Kömür,Germany,MF,Augsburg,Bundesliga,21,2005,28,17,1464,16.3,2,4,6,2,0,0,1,0,26.0,18.0,2.0,60.0,8.0,13.0,22.7,23
Mertcan Ayhan,Turkey,CB,Schalke 04,2 Lg,20,2006,27,20,1938,21.5,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,33.4,8
Mika Baur,Germany,MF,Paderborn,2 Lg,22,2004,33,32,2656,29.5,4,5,9,3,1,1,5,0,35.0,18.0,3.0,121.0,36.0,31.0,43.4,48
Mika Wallentowitz,Germany,MF,Schalke 04,2 Lg,19,2007,13,7,507,5.6,0,1,1,0,0,0,1,0,15.0,1.0,1.0,10.0,5.0,3.0,-,3
Mirza Catovic,Germany,MF,Stuttgart,3 Lg,19,2007,29,28,2307,25.6,1,0,1,1,0,0,10,0,-,-,-,-,-,-,38.3,26
Montrell Culbreath,Germany,FB,Leverkusen,Bundesliga,19,2007,12,9,736,8.2,1,0,1,1,0,0,0,0,5.0,11.0,0.0,24.0,8.0,16.0,-,6
Nathan De Cat,Belgium,MF,Hoffenheim,BEL First Division,18,2008,36,34,2725,30.3,2,4,6,2,0,0,8,0,47.0,34.0,3.0,19.0,35.0,32.0,26.8,28
Nelson Weiper,Germany,FW,Mainz 05,Bundesliga,21,2005,24,3,558,6.2,0,0,0,0,0,0,1,0,6.0,3.0,6.0,6.0,3.0,2.0,14.5,6
Nnamdi Collins,Germany,CB,Frankfurt,Bundesliga,22,2004,23,16,1500,16.7,1,2,3,1,0,0,4,0,22.0,19.0,0.0,4.0,24.0,38.0,56.7,3
Noah Darvich,Germany,MF,SV Elversberg,3 Lg,18,2007,29,29,2253,25.0,10,4,14,9,1,2,1,0,-,-,-,-,-,-,21.2,41
Noahkai Banks,United States,CB,Augsburg,Bundesliga,19,2006,23,20,1725,19.2,1,1,2,1,0,0,8,0,29.0,18.0,3.0,4.0,18.0,29.0,41.4,7
Noel Aseko,Greece,MF,Frankfurt,2 Lg,20,2005,33,31,2363,26.3,3,5,8,3,0,0,8,0,61.0,57.0,5.0,23.0,27.0,33.0,19.2,32
Oluwaseun Ogbemudia,Germany,CB,Union Berlin,3 Lg,20,2006,16,13,1166,13.0,0,1,1,0,0,0,4,0,-,-,-,-,-,-,-,9
Oscar Højlund,Denmark,MF,Frankfurt,Bundesliga,21,2005,24,12,1089,12.1,1,1,2,1,0,0,4,1,27.0,5.0,1.0,2.0,7.0,17.0,41.7,7
Otavio,Brazil,CB,Frankfurt,Liga Portugal,21,2005,22,17,1353,15.0,0,1,1,0,0,0,5,0,27.0,15.0,0.0,5.0,38.0,25.0,30.5,4
Otto Stange,Germany,FW,Hamburger SV,Bundesliga,19,2007,10,2,293,3.3,0,0,0,0,0,0,0,0,5.0,6.0,0.0,6.0,0.0,3.0,-,1
Otto Stange,Germany,FW,SV Elversberg,2 Lg,19,2007,11,0,190,2.1,3,2,5,2,1,2,3,0,7.0,5.0,2.0,5.0,3.0,1.0,-,1
Patrice Čović,Croatia,MF,Werder Bremen,Bundesliga,19,2007,15,2,351,3.9,1,0,1,1,0,0,1,0,6.0,2.0,0.0,7.0,4.0,6.0,-,3
Paul Okon-Engstler,Australia,MF,Köln,A-League,21,2005,23,22,1933,21.5,0,2,2,0,0,0,6,0,33.0,35.0,1.0,8.0,26.0,34.0,54.8,14
Raif Adam,Germany,FW,SV Elversberg,2 Lg,21,2005,10,0,76,0.0,1,0,1,1,0,0,0,0,2.0,0.0,2.0,1.0,1.0,0.0,-,1
Rav van den Berg,Netherlands,CB,Köln,Bundesliga,22,2004,14,12,1131,12.6,0,1,1,0,0,0,0,1,10.0,3.0,1.0,1.0,14.0,8.0,-,1
Rodrigo Ribeiro,Portugal,FW,Augsburg,Bundesliga,21,2005,14,6,636,7.1,2,0,2,2,0,0,1,0,10.0,3.0,9.0,3.0,4.0,3.0,-,1
Ruben Müller,Germany,MF,Paderborn,2 Lg,21,2005,22,13,1050,11.7,0,2,2,0,0,0,3,0,14.0,23.0,2.0,3.0,8.0,7.0,31.4,20
Said El Mala,Germany,FW,Köln,Bundesliga,19,2006,34,20,1956,21.7,13,4,17,12,1,1,4,0,15.0,23.0,18.0,39.0,8.0,14.0,11.6,21
Salim Musah,Germany,FW,Werder Bremen,Bundesliga,20,2006,8,2,198,2.2,1,0,1,1,0,0,0,0,4.0,3.0,1.0,1.0,2.0,1.0,-,3
Samuel Mbangula,Belgium,LW,Werder Bremen,Bundesliga,22,2004,26,12,1171,13.0,3,2,5,3,0,0,0,0,4.0,23.0,4.0,23.0,3.0,10.0,32.2,14
Samuele Inácio,Italy,MF,Dortmund,Bundesliga,18,2008,7,4,384,4.3,1,0,1,1,0,0,2,0,7.0,10.0,0.0,11.0,2.0,2.0,-,8
Sani Suleiman,Nigeria,FW,RB Leipzig,Slovakia 1 liga,20,2006,12,8,860,-,3,2,5,0,0,0,2,2,-,-,-,-,-,-,-,-
Santiago Castañeda,United States,MF,Paderborn,2 Lg,22,2004,31,27,2158,24.0,0,0,0,0,0,0,5,0,30.0,30.0,0.0,4.0,27.0,27.0,41.7,15
Sean Dulic,Germany,CB,Hoffenheim,3 Lg,21,2005,23,22,1958,21.8,1,2,3,1,0,0,3,0,-,-,-,-,-,-,45.7,9
Sima Suso,Germany,MF,Augsburg,2 Lg,21,2005,24,17,1473,16.4,1,0,1,1,0,0,4,1,18.0,19.0,1.0,32.0,11.0,23.0,36.2,15
Stefano Marino,Germany,FW,Paderborn,2 Lg,22,2004,27,14,1188,13.2,6,1,7,6,0,0,1,0,19.0,26.0,5.0,8.0,3.0,5.0,12.4,6
Tidiam Gomis,France,FW,RB Leipzig,Bundesliga,20,2006,18,2,348,3.9,1,0,1,1,0,0,1,0,4.0,3.0,3.0,6.0,0.0,2.0,23.8,2
Tim Oermann,Germany,CB,Leverkusen,Aut Bundesliga,22,2003,18,18,1376,15.3,0,1,1,0,0,0,2,0,10.0,8.0,0.0,11.0,10.0,15.0,-,5
Tom Bischof,Germany,FB,Bayern Munich,Bundesliga,21,2005,26,14,1302,14.5,3,3,6,3,0,0,2,0,15.0,9.0,1.0,26.0,15.0,18.0,75.7,24
Tom Rothe,Germany,CB,Union Berlin,Bundesliga,21,2004,21,10,1029,11.4,2,0,2,2,0,0,1,1,10.0,6.0,2.0,35.0,21.0,15.0,24.3,11
Tristan Zobel,Germany,CB,Paderborn,3 Lg,23,2003,36,35,3208,35.6,1,1,2,1,0,0,7,0,-,-,-,-,-,-,42.3,8
Umut Tohumcu,Germany,MF,Hoffenheim,Bundesliga,22,2004,5,1,136,1.5,0,0,0,0,0,0,2,0,2.0,2.0,0.0,1.0,0.0,1.0,-,12
Vitalie Becker,Germany,LB,Schalke 04,2 Lg,21,2005,18,17,1536,17.1,2,1,3,2,0,0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,15
Wael Mohya,Germany,MF,Gladbach,Bundesliga,18,2008,15,6,552,6.1,2,1,3,2,0,0,1,0,4.0,13.0,0.0,8.0,2.0,7.0,-,4
Younes Ebnoutalib,Germany,FW,Frankfurt,Bundesliga,23,2003,5,2,133,1.5,1,0,1,1,0,0,0,0,2.0,2.0,0.0,0.0,1.0,0.0,8.1,2
Younes Ebnoutalib,Germany,FW,SV Elversberg,2 Lg,23,2003,17,13,1260,14.0,12,0,12,11,1,1,2,0,11.0,11.0,15.0,1.0,3.0,4.0,8.1,2
Youssoupha Niang,Germany,MF,Köln,Bundesliga,20,2006,10,2,194,2.2,0,0,0,0,0,0,0,0,6.0,4.0,0.0,2.0,0.0,1.0,-,3
